workerId,chart,data_size,true_percentage,error,responseTime
fd837b1bcecc0efcaf0f6cd81be3c195c1b7fc84,PB,150,77,42,5201
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,150,23,2,10387
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,75,17,8,9299
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,300,47,12,7057
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,75,23,7,5638
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,75,83,3,5893
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,300,53,32,6640
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,300,8,3,5910
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,75,8,3,4841
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,75,53,18,4264
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,150,83,3,7388
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,300,83,7,5678
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,150,62,18,4703
474293f37c743ecec662ee0035d005ec5ca27e8b,TM,150,17,18,6039
